Doctor Who season,doctor actor,ep. no,episode title,from ,to,estimated?,planet,sub location,location,notes,source,,,,,,,
10,Tennant,304,Daleks in Manhattan,1930,1930,,Earth,USA,"Manhattan, New York",,http://who-transcripts.atspace.com/,,,,,,,
10,Tennant,306,The Lazarus Experiment,2008,2008,,Earth,England,London,morning after ep 301,http://who-transcripts.atspace.com/,,,,,,,
10,Tennant,307,42,4100,2008,,space,Torajji system,"A spaceship, near the sun",,http://who-transcripts.atspace.com/,,,,,,,
10,Tennant,308,Human Nature,1913,1913,,Earth,England,Farringham,,http://who-transcripts.atspace.com/,,,,,,,
10,Tennant,310,Blink,2007,1920,,Earth,England,Hull,Part of this ep is in 1969.,"http://tardis.wikia.com/wiki/Blink
http://who-transcripts.atspace.com/2007/transcripts/310_blink.html",,,,,,,
10,Tennant,310,Blink,2007,1969,,Earth,England,London,,,,,,,,,
10,Tennant,310,Blink,2007,2008,,Earth,England,London,,,,,,,,,
10,Tennant,311,Utopia,2008,"100,000,000,000,000",,Earth,England,Cardiff and Malcassairo,,http://who-transcripts.atspace.com/,,,,,,,
10,Tennant,312,The Sound of Drums,"100,000,000,000,000",2008,,Earth,England,Malcassairo and London,,,,,,,,,
10,Tennant,313,Last of the Time Lords,2009,2008,,Earth,England,Alternative England and London,"*the ep partially takes place in 2009, but this timeline ends up being ""reset"" ",,,,,,,,
XMAS SPECIAL,,,,,,,,,,,,,,,,,,
NEW SEASON 4,,,,,,,,,,,,,,,,,,
10,Tennant,402,The Fires of Pompeii,2009,79,,Earth,Roman Empire,Pompeii,,,,,,,,,
10,Tennant,403,Planet of the Ood,4126,4126,,,The Second Great and Bountiful Human Empire,Ood-Sphere,,,,,,,,,
10,Tennant,405,The Poison Sky,2009,2009,,Earth,England,London,,,,,,,,,
10,Tennant,406,The Doctor's Daughter,6012,2009,,??????,,Messaline,,,,,,,,,
10,Tennant,407,The Unicorn and the Wasp,1926,1926,,Earth,Yorkshire,Harrogate,,,,,,,,,
10,Tennant,408,Silence in the Library,5000,5100,,,,The Library,,,,,,,,,
10,Tennant,410,Midnight,2600,2700,,,,Midnight,,,,,,,,,
10,Tennant,411,Turn Left,2007,2008,,Earth,,London,"added from date, Runaway Bride",,,,,,,,
XMAS SPECIALS,,,,,,,,,,,,,,,,,,
10,Tennant,xmas 2008,the next Doctor,1851,1851,,Earth,,London,dvd : doctor speaks to young boy,,,,,,,,
10,Tennant,Special,Planet of the Dead,2009,2009,,Earth,,"San Helios, London",,,,,,,,,
10,Tennant,Special,The Waters of Mars,2059,2059,,Planet Mars,,,,,,,,,,,
10,Tennant,Special,The End of Time - Part 2,2009,2010,,Earth,,London,,http://tardis.wikia.com/wiki/The_End_of_Time_(TV_story),,,,,,,
NEW SERIES 5,,,,,,,,,,,,,,,,,,
